"chain_id"	"category_id"
5	2
21	2
22	2
83	2
84	2
86	2
87	2
90	2
111	2
116	2
129	2
130	2
133	2
143	2
146	2
151	2
152	2
153	2
154	2
160	2
179	2
182	2
187	2
192	2
215	2
223	2
230	2
231	2
334	2
336	2
348	2
370	2
385	2
387	2
392	2
432	2
483	2
484	2
487	2
505	2
559	2
563	2
579	2
592	2
595	2
601	2
628	2
644	2
646	2
654	2
657	2
660	2
676	2
689	2
693	2
694	2
706	2
721	2
728	2
743	2
759	2
803	2
811	2
874	2
886	2
898	2
899	2
907	2
920	2
989	2
993	2
1013	2
1044	2
1047	2
1069	2
1075	2
1181	2
80	3
81	3
94	3
96	3
114	3
145	3
156	3
158	3
162	3
177	3
180	3
194	3
198	3
235	3
237	3
452	3
474	3
480	3
482	3
486	3
493	3
495	3
496	3
497	3
521	3
539	3
541	3
564	3
571	3
587	3
588	3
597	3
603	3
604	3
606	3
613	3
622	3
626	3
630	3
634	3
645	3
647	3
655	3
659	3
702	3
770	3
779	3
784	3
786	3
866	3
868	3
894	3
921	3
960	3
969	3
977	3
983	3
1005	3
1014	3
1023	3
1029	3
1053	3
1070	3
1088	3
1101	3
1109	3
1120	3
1135	3
1155	3
1165	3
1178	3
1184	3
29	4
100	4
102	4
150	4
194	4
197	4
222	4
434	4
481	4
490	4
550	4
566	4
662	4
669	4
692	4
701	4
707	4
715	4
742	4
748	4
763	4
789	4
793	4
815	4
835	4
846	4
872	4
887	4
895	4
896	4
918	4
958	4
966	4
967	4
971	4
973	4
981	4
1027	4
1045	4
1062	4
1091	4
107	5
189	5
238	5
384	5
599	5
618	5
767	5
816	5
928	5
954	5
963	5
1034	5
1043	5
1050	5
1058	5
140	6
239	6
340	6
400	6
457	6
530	6
618	6
680	6
697	6
757	6
807	6
858	6
1067	6
1092	6
1162	6
1166	6
1169	6
165	7
178	7
491	7
586	7
704	7
705	7
788	7
833	7
860	7
912	7
922	7
940	7
972	7
990	7
1063	7
1083	7
1093	7
34	8
205	8
618	8
648	8
653	8
698	8
777	8
804	8
845	8
1026	8
1160	8
171	9
201	9
460	9
183	10
853	10
855	10
1115	10
1140	10
141	11
156	11
211	11
240	11
512	11
518	11
595	11
1012	11
1022	11
1132	11
1149	11
75	13
168	13
169	13
176	13
203	13
220	13
232	13
384	13
765	13
1111	13
1121	13
1	14
46	14
48	14
60	14
61	14
62	14
63	14
64	14
66	14
68	14
69	14
70	14
71	14
72	14
112	14
132	14
160	14
161	14
164	14
167	14
171	14
181	14
194	14
212	14
219	14
224	14
232	14
234	14
236	14
361	14
362	14
440	14
442	14
449	14
450	14
478	14
503	14
506	14
508	14
517	14
522	14
523	14
531	14
532	14
568	14
569	14
570	14
574	14
591	14
624	14
636	14
651	14
681	14
740	14
754	14
768	14
777	14
778	14
783	14
795	14
824	14
867	14
925	14
929	14
1001	14
1065	14
1068	14
1074	14
1080	14
1089	14
1100	14
1136	14
