"chain_id"	"category_id"
813	29
823	29
825	29
900	29
917	29
924	29
936	29
974	29
978	29
1159	29
2	30
12	30
101	30
103	30
104	30
135	30
180	30
216	30
431	30
447	30
470	30
477	30
519	30
524	30
527	30
537	30
565	30
573	30
575	30
582	30
583	30
584	30
605	30
621	30
665	30
667	30
668	30
672	30
688	30
695	30
703	30
709	30
710	30
749	30
782	30
791	30
805	30
806	30
843	30
848	30
849	30
850	30
851	30
852	30
869	30
871	30
937	30
950	30
953	30
957	30
961	30
965	30
970	30
995	30
1024	30
1051	30
1052	30
1081	30
1082	30
1085	30
1112	30
1152	30
1195	30
38	31
41	31
158	31
787	32
200	33
201	33
237	33
240	33
389	33
630	33
682	33
730	33
753	33
756	33
778	33
785	33
842	33
908	33
1025	33
1039	33
1042	33
1101	33
1111	33
1138	33
1161	33
31	34
134	34
186	34
235	34
472	34
540	34
594	34
604	34
620	34
642	34
670	34
673	34
684	34
686	34
702	34
704	34
752	34
780	34
792	34
794	34
800	34
814	34
857	34
875	34
876	34
878	34
884	34
888	34
933	34
944	34
979	34
992	34
1003	34
1054	34
1057	34
1072	34
1076	34
1117	34
1165	34
1184	34
1194	34
78	35
93	35
105	35
172	35
359	35
444	35
445	35
462	35
471	35
617	35
671	35
699	35
723	35
727	35
772	35
809	35
856	35
864	35
873	35
891	35
915	35
923	35
999	35
1128	35
1131	35
1138	35
1151	35
1170	35
1199	35
158	36
198	36
431	36
529	36
605	36
652	36
683	36
696	36
708	36
854	36
859	36
934	36
945	36
946	36
951	36
955	36
959	36
964	36
975	36
997	36
1006	36
1014	36
1020	36
1021	36
1097	36
8	38
153	38
157	38
158	38
160	38
161	38
162	38
164	38
167	38
171	38
174	38
180	38
181	38
194	38
196	38
198	38
203	38
205	38
236	38
361	38
362	38
601	38
1135	38
1137	38
1195	38
656	39
744	39
755	39
771	39
939	39
1033	39
1172	39
596	40
948	40
593	41
35	42
36	42
37	42
185	42
465	42
510	42
810	42
885	42
928	42
19	43
23	43
33	43
76	43
95	43
110	43
151	43
190	43
196	43
204	43
217	43
335	43
433	43
436	43
468	43
530	43
720	43
841	43
879	43
880	43
913	43
930	43
980	43
986	43
991	43
993	43
1004	43
1012	43
1015	43
1016	43
1111	43
1146	43
882	44
987	44
153	45
213	45
333	45
371	45
378	45
432	45
507	45
609	45
658	45
660	45
728	45
910	45
911	45
927	45
1084	45
1127	45
677	49
956	49
370	50
377	50
644	50
661	50
676	50
693	50
700	50
711	50
713	50
716	50
745	50
760	50
822	50
861	50
1141	50
436	51
431	54
251	100
274	100
317	100
412	100
438	100
251	101
317	101
251	102
317	103
412	103
251	104
251	105
317	105
393	105
412	105
1009	105
251	106
251	107
412	107
317	108
317	109
412	109
253	200
399	200
435	200
441	200
643	200
253	201
399	201
253	202
399	202
253	203
399	203
253	204
399	204
253	205
399	206
399	207
399	208
286	300
325	300
393	300
395	300
415	300
1035	300
286	301
395	301
415	301
395	302
415	302
393	303
395	303
415	303
395	304
415	304
395	305
415	305
415	306
1174	308
326	400
326	401
327	401
332	401
326	404
282	500
282	501
282	502
282	503
282	504
282	505
317	600
438	600
274	700
274	800
276	1000
406	1000
418	1000
406	1001
418	1001
418	1002
418	1003
276	1004
276	1005
406	1005
395	1202
1009	1202
